ns4:QUOTE_DATE;ns4:RATE_TYPE;ns4:RATE
30-9-2010 00:00;BC_20year;3,380000114
30-9-2010 00:00;Over_10_Years;3,24000001
30-9-2010 00:00;Real_Rate;1,399999976
1-10-2010 00:00;BC_20year;3,400000095
1-10-2010 00:00;Over_10_Years;3,25999999
1-10-2010 00:00;Real_Rate;1,399999976
4-10-2010 00:00;BC_20year;3,390000105
4-10-2010 00:00;Over_10_Years;3,25
4-10-2010 00:00;Real_Rate;1,379999995
5-10-2010 00:00;BC_20year;3,410000086
5-10-2010 00:00;Over_10_Years;3,25999999
5-10-2010 00:00;Real_Rate;1,320000052
6-10-2010 00:00;BC_20year;3,339999914
6-10-2010 00:00;Over_10_Years;3,180000067
